SID,Family,Subject,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Lineage_6,Lineage_7,Lineage_8,Lineage_9,Lineage_10,Lineage_11,Lineage_12,Lineage_13,Lineage_14,Lineage_15,Lineage_16,Lineage_17,Lineage_18,Lineage_19,Lineage_20,Lineage_21,Lineage_22,Lineage_23,Lineage_24,Lineage_25,Lineage_26,Lineage_27,Lineage_28,Lineage_29,Lineage_30,Lineage_31,Lineage_32,Lineage_33,Lineage_34,Lineage_35,Lineage_36,Lineage_37,Lineage_38,Lineage_39,Lineage_40,Lineage_41,Lineage_42,Lineage_43,Lineage_44,Lineage_45,Lineage_46,Lineage_47,Lineage_48,Lineage_49,Lineage_50,Lineage_51,Lineage_52,Lineage_53,Lineage_54,Lineage_55,Lineage_56,Lineage_57,Lineage_58,Lineage_59,Lineage_60,Lineage_61,Lineage_62,Lineage_63,Lineage_64,Lineage_65,Lineage_66,Lineage_67,Lineage_68,Lineage_69,Lineage_70,Lineage_71,Lineage_72,Lineage_73,Lineage_74,Lineage_75,Lineage_76,Lineage_77,Lineage_78,Lineage_79,Lineage_80,Lineage_81,Lineage_82,Lineage_83,Lineage_84,Lineage_85,Lineage_86,Lineage_87,Lineage_88,Lineage_89,Lineage_90,Lineage_91,Lineage_92
2PA1,2,2PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475409836065574,0,0,0,0.0491803278688525,0,0,0,0,0,0,0,0,0,0.0327868852459016,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0.409836065573771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2PA3,2,2PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35632183908046,0,0,0,0.103448275862069,0,0,0,0,0,0,0,0,0.0344827586206897,0.137931034482759,0.0229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574712643678161,0.28735632183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2PB1,2,2PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652173913043478,0,0,0.260869565217391,0,0,0,0,0,0,0.0869565217391304,0,0,0,0,0.108695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565217391,0,0,0,0,0,0,0.108695652173913,0,0,0.108695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4AA1,4,4AA,0,0,0,0,0.010989010989011,0.032967032967033,0,0.0879120879120879,0.164835164835165,0.0549450549450549,0,0,0.120879120879121,0.406593406593407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120879120879121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4AB1,4,4AB,0,0,0,0,0.857142857142857,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5PA1,5,5PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0666666666666667,0.0888888888888889,0.377777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5PB3,5,5PB,0.0392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0.745098039215686,0.156862745098039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7AA1,7,7AA,0,0,0,0,0,0,0,0,0,0,0.0543478260869565,0.293478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239130434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543478260869565,0,0,0,0,0,0,0.119565217391304,0,0,0,0,0,0,0.239130434782609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7AA4,7,7AA,0.0078740157480315,0,0,0,0,0,0,0,0,0,0,0.031496062992126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0393700787401575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.913385826771654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078740157480315,0,0,0,0,0,0,0,0,0
7AB4,7,7AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0
7PA1,7,7PA,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0.51063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106382978723404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425531914893617,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0.297872340425532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8AA4,8,8AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0.814814814814815,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8AB4,8,8AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192307692307692,0.288461538461538,0,0,0,0.0384615384615385,0,0.0576923076923077,0.0769230769230769,0,0,0.0961538461538462,0.365384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0.0192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8AC4,8,8AC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8PA3,8,8PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353846153846154,0.0153846153846154,0.184615384615385,0.323076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615384615384615,0,0,0.0615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8PB1,8,8PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8PB4,8,8PB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930232558139535,0.0232558139534884,0.255813953488372,0.13953488372093,0,0.162790697674419,0,0.162790697674419,0,0,0,0,0,0,0,0,0,0,0,0,0.0232558139534884,0.13953488372093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
