,1AA3C_23YAS_90,1AA3C_23YAS_93,1AA3C_23YAS_94,1AA4C_Z02_71,1AA4C_Z02_81,1AA4C_Z02_85,1PA1K_28JA_17,1PA1N_28JB_60,1PA2C_11JES_51,1PA2N_11JES_24,1PA4C_22YD_91,1PA4F_22YD_41,1PA4N_22YD_57,1PB2N_24JB_27,1PB2N_Z08_44,1PB3C_23YAC_20,1PB3C_8YDS_76,2AA1C_28JA_61,2AA1C_28JA_67,2AA3C_23YBC_2,2AA3K_9YD_62,2PA1C_11JCS_80,2PA1C_11JCS_83,2PA3C_15YE_37,2PA3C_15YE_41,2PA3C_15YE_61,2PA3C_15YE_82,2PA3N_15YE_35,2PB1C_Z08_6,2PB1F_Z08_17,2PB1K_Z08_8,2PB1N_24JB_86,2PB1N_24JB_91,4AA1F_X13_37,4AA1F_X13_46,4AA1F_X13_48,4AA1F_X14_79,4AA1N_X16_28,4AB1K_X16_57,4AB1N_X14_13,5PA1C_11JBS_66,5PA1C_11JBS_94,5PA1F_11JBS_3,5PA1N_11JBS_61,5PB3C_22YC_85,5PB3C_22YC_86,5PB3N_22YC_31,7AA1C_28JC_11,7AA1C_28JC_5,7AA1C_X14_93,7AA4C_23YAC_39,7AA4F_Z04_59,7AB4N_22YB_3,7PA1C_28JC_68,7PA1C_28JC_92,8AB1F_25YH_17,8AB1K_25YH_62,8AB4C_23YAS_16,8AB4C_25YA_77,8AB4F_25YA_19,8AC1C_25YC_8,8AC1N_25YC_3,8AC4C_8YAS_89,8PB1K_25YC_40,8PB3F_23YCS_6,8PB4N_25YD_28
2AA3K_9YD_62,0.97727297,0.98786423,0.98500558,0.98644395,0.98542828,0.98498128,0.97900231,0.98543409,0.78748063,0.98389167,0.98527719,0.98383567,0.98542318,0.98652799,0.98888771,0.98433552,0.98374527,0.98442894,0.98647943,0.98513045,1,0.98355416,0.98455573,0.97861563,0.98487023,0.98474083,0.98503029,0.98032634,0.75820872,0.76811506,0.49693969,0.98486936,0.9930631,0.9751098,0.98606361,0.97605031,0.98494171,0.9872527,0.98541686,0.97676599,0.98510518,0.98739533,0.98784342,0.98492711,0.98508228,0.98436779,0.98676306,0.98395775,0.98359701,0.98379244,0.98612802,0.82937932,0.98552877,0.98429149,0.98530719,0.98681661,0.98547466,0.97617955,0.98494926,0.98683583,0.77244132,0.98496875,0.98473329,0.98599451,0.98512343,0.98386709
2PA1C_11JCS_80,0.97701428,0.98377692,0.99215625,0.99336518,0.99153528,0.99550664,0.98185338,0.99052977,0.78745729,0.99545586,0.99138537,0.996625,0.98974144,0.99303556,0.9830695,0.99078366,0.99151632,0.99223928,0.9931635,0.99738371,0.98355416,1,0.99198035,0.98286936,0.99116827,0.99056471,0.99448342,0.97966857,0.76030576,0.76909879,0.492292,0.99190303,0.98344882,0.97666481,0.99306616,0.97677144,0.99132885,0.99316619,0.99834444,0.97759076,0.99735576,0.99107922,0.9832239,0.99286337,0.99734465,0.99191361,0.99637077,0.99141309,0.99682646,0.99135191,0.99256614,0.83002336,0.99215472,0.99732376,0.99193682,0.98274988,0.99278258,0.97657916,0.99078588,0.99292824,0.7755201,0.99848475,0.99745513,0.99305783,0.99208638,0.99135445
2PA1C_11JCS_83,0.97826624,0.98395954,0.99308092,0.99654328,0.99229385,0.99278565,0.98306455,0.9938864,0.78819537,0.99107031,0.99242998,0.9894175,0.98788422,0.99433552,0.98328277,0.99033803,0.99194227,0.99113021,0.99398424,0.99221518,0.98455573,0.99198035,1,0.98296249,0.99255908,0.99299342,0.9961351,0.97875401,0.76051566,0.76715167,0.4934739,0.99222686,0.98330331,0.97715516,0.99360166,0.97819561,0.99343242,0.99437476,0.9937842,0.97900024,0.99432943,0.99228946,0.98299511,0.99389795,0.99449705,0.9922288,0.99410425,0.99051757,0.99263449,0.99299288,0.99201547,0.83140415,0.99171169,0.99197471,0.99282026,0.98333758,0.99265829,0.97846577,0.99212622,0.99412587,0.77513432,0.9936005,0.99215516,0.99294564,0.99427258,0.99171599
2PA3C_15YE_37,0.98720178,0.97824516,0.98286041,0.98305577,0.98177937,0.98107294,0.99827028,0.98440422,0.78650736,0.98239873,0.98333434,0.98052944,0.97949977,0.98459672,0.97733561,0.98313032,0.98240405,0.9833098,0.98388645,0.98248293,0.97861563,0.98286936,0.98296249,1,0.98181202,0.98212368,0.98482112,0.98328289,0.75846154,0.76638242,0.49271774,0.98232927,0.97938694,0.98292063,0.98388927,0.98273873,0.98252033,0.98484248,0.98348222,0.98390365,0.98328478,0.9814852,0.97694535,0.98269649,0.98303316,0.98052507,0.98358993,0.98004839,0.98363598,0.98301777,0.98431611,0.82946955,0.98260918,0.98378045,0.9848934,0.97676235,0.98294863,0.9871484,0.98038216,0.98326405,0.77360187,0.98285363,0.98219758,0.98239818,0.98242263,0.98347957
2PA3C_15YE_41,0.97786419,0.98372634,0.99266192,0.99262242,0.9928823,0.99123196,0.98084573,0.9906039,0.78858294,0.99127306,0.99170716,0.99126729,0.987301,0.99262007,0.98205601,0.99248629,0.98969894,0.99114173,0.99270605,0.99168641,0.98487023,0.99116827,0.99255908,0.98181202,1,0.9939455,0.99203588,0.97980402,0.75859629,0.76837982,0.49277823,0.99123438,0.98422776,0.97776217,0.99249809,0.97821641,0.99279553,0.99270578,0.99323532,0.97847115,0.99108774,0.99049842,0.98249144,0.9904961,0.99127982,0.99126105,0.99174563,0.99090075,0.99157304,0.98915088,0.99361489,0.82773864,0.99154903,0.99234587,0.99032884,0.98306183,0.99218499,0.97827047,0.9964656,0.9934939,0.77432475,0.99269045,0.99199417,0.99341136,0.9923758,0.99063083
2PA3C_15YE_61,0.97776193,0.98368988,0.99203746,0.99447798,0.99436784,0.99292077,0.98157014,0.99196398,0.78821398,0.99053159,0.99115955,0.98745784,0.98786531,0.99372329,0.98244856,0.99024712,0.99055541,0.98911859,0.99240136,0.99032149,0.98474083,0.99056471,0.99299342,0.98212368,0.9939455,1,0.99280545,0.98034269,0.76041428,0.76721429,0.49199602,0.99205208,0.98312951,0.97722155,0.99205566,0.97862866,0.99141051,0.99340237,0.99212425,0.97722406,0.99240742,0.99092677,0.98315028,0.99145293,0.99240619,0.99092655,0.99312815,0.98969952,0.99044377,0.99065837,0.99172931,0.83001286,0.99064239,0.99063795,0.9912365,0.98229585,0.99241568,0.97827418,0.99467982,0.99345037,0.77600027,0.99184569,0.99075588,0.99251504,0.99314053,0.9911205
2PA3C_15YE_82,0.97662428,0.98468864,0.99244134,0.99540562,0.99396425,0.99403853,0.98419161,0.99417465,0.78974577,0.99514098,0.99424463,0.99436331,0.99089615,0.99301493,0.98372285,0.99385373,0.99383777,0.99403633,0.99320282,0.99487968,0.98503029,0.99448342,0.9961351,0.98482112,0.99203588,0.99280545,1,0.98046375,0.75983728,0.77035802,0.4938012,0.99353502,0.98456584,0.97729815,0.99251095,0.97773459,0.99440009,0.9934307,0.99446456,0.97938248,0.99425845,0.99392716,0.98389748,0.99427841,0.9941561,0.99119367,0.99562329,0.9926811,0.99413511,0.99382679,0.99444526,0.83058522,0.99301755,0.99481579,0.99283388,0.98350238,0.99317796,0.97834156,0.99083619,0.99327209,0.77736,0.9947552,0.99470852,0.99258071,0.99449492,0.99246197
2PA3N_15YE_35,0.98529332,0.97818303,0.97926225,0.97990063,0.97895653,0.97848475,0.9815793,0.97821975,0.7875042,0.97732764,0.9791467,0.97530495,0.97481279,0.97994361,0.97753589,0.97537756,0.97716441,0.97772443,0.97970969,0.97853276,0.98032634,0.97966857,0.97875401,0.98328289,0.97980402,0.98034269,0.98046375,1,0.76004918,0.76635202,0.49279,0.97834114,0.98077325,0.98564906,0.97852234,0.98673655,0.97747208,0.98017852,0.97872353,0.98776591,0.97911575,0.9788447,0.97701639,0.97865622,0.97859508,0.9783065,0.98026283,0.97781104,0.97719007,0.97667013,0.97725205,0.82959862,0.97832789,0.97742022,0.97826974,0.97683505,0.97927019,0.98505492,0.97945772,0.97992905,0.77424906,0.97885943,0.97828228,0.98003951,0.97869793,0.9788375
2PB1C_Z08_6,0.75919813,0.75971719,0.76066148,0.75965641,0.76021011,0.7592905,0.75835294,0.76041704,0.76161493,0.76035334,0.76065118,0.75922478,0.7608939,0.76001997,0.7581173,0.76089135,0.75996847,0.76207199,0.76126834,0.75916028,0.75820872,0.76030576,0.76051566,0.75846154,0.75859629,0.76041428,0.75983728,0.76004918,1,0.77272952,0.49210433,0.76005221,0.75720475,0.75773241,0.75908039,0.75800639,0.75931113,0.76126251,0.75996268,0.75787909,0.76065193,0.76016779,0.75827412,0.75999044,0.76042693,0.75943603,0.76102445,0.75898418,0.7605,0.7595397,0.76059101,0.76736048,0.76062089,0.75968028,0.76043775,0.75877944,0.76057907,0.76085825,0.75940039,0.76098904,0.74627131,0.76027945,0.7603573,0.75991997,0.75921701,0.76088324
2PB1F_Z08_17,0.76944828,0.76721891,0.76956009,0.76982028,0.76952377,0.76994448,0.76723966,0.77009022,0.76655935,0.76819582,0.76923209,0.76680537,0.76708092,0.76914744,0.76581945,0.76905275,0.76677083,0.76942126,0.77027357,0.76808291,0.76811506,0.76909879,0.76715167,0.76638242,0.76837982,0.76721429,0.77035802,0.76635202,0.77272952,1,0.49161197,0.76944223,0.76763918,0.76919132,0.77077706,0.76868197,0.76679391,0.77142397,0.77071697,0.76880847,0.77203788,0.76938402,0.76568327,0.76904436,0.77131166,0.76981935,0.77132376,0.76802799,0.7692749,0.7685861,0.77206372,0.77586255,0.77150725,0.76866183,0.76949666,0.76630627,0.77008764,0.76781267,0.77105384,0.77270039,0.75291652,0.77070864,0.77006208,0.76993228,0.76901145,0.77016602
2PB1K_Z08_8,0.49248207,0.49325203,0.494625,0.49260081,0.49367729,0.49392353,0.49264683,0.49470482,0.49208333,0.49227183,0.4931245,0.49186706,0.49417409,0.49293952,0.4928125,0.492488,0.493378,0.495368,0.4935935,0.49491833,0.49693969,0.492292,0.4934739,0.49271774,0.49277823,0.49199602,0.4938012,0.49279,0.49210433,0.49161197,1,0.49265663,0.49351594,0.49283267,0.49278916,0.49335,0.49289919,0.49306327,0.49231673,0.49224603,0.49430118,0.49231928,0.49282661,0.49423611,0.492416,0.49244024,0.49284,0.4943373,0.49238153,0.49392137,0.4931,0.49362786,0.4933583,0.49357371,0.494282,0.49448008,0.49337652,0.49158235,0.49385573,0.4985642,0.49180899,0.49250199,0.492298,0.49271976,0.49327621,0.49486957
2PB1N_24JB_86,0.97758752,0.98229161,0.99331478,0.99460065,0.99220864,0.99372051,0.98264001,0.99295958,0.78800581,0.99068354,0.99336221,0.99024161,0.98922565,0.99341281,0.98265385,0.99076801,0.9900345,0.99120137,0.99423871,0.99269381,0.98486936,0.99190303,0.99222686,0.98232927,0.99123438,0.99205208,0.99353502,0.97834114,0.76005221,0.76944223,0.49265663,1,0.98420287,0.97709937,0.9930781,0.97769611,0.99287449,0.99419874,0.99340093,0.97801431,0.99419416,0.99283257,0.98247867,0.99322482,0.99426743,0.99205078,0.99431305,0.9968847,0.99211473,0.99267119,0.9929291,0.83097758,0.99217307,0.99051668,0.99334965,0.98150718,0.99344276,0.97689089,0.99179748,0.99369626,0.77525109,0.99356408,0.99362258,0.99395455,0.99362361,0.99247881
2PB1N_24JB_91,0.97722601,0.98808503,0.98616512,0.9845,0.98592777,0.98341135,0.97831854,0.98375678,0.78755512,0.98299049,0.98481799,0.98399514,0.98337395,0.98657459,0.98854777,0.98265484,0.9838597,0.98382356,0.98639918,0.98466867,0.9930631,0.98344882,0.98330331,0.97938694,0.98422776,0.98312951,0.98456584,0.98077325,0.75720475,0.76763918,0.49351594,0.98420287,1,0.9748527,0.98453907,0.97559981,0.98400632,0.98735934,0.98477199,0.97679332,0.98530291,0.98356782,0.98700755,0.98487394,0.98518212,0.98469593,0.98556849,0.98424599,0.98369451,0.98381043,0.98454348,0.82923875,0.98377733,0.98399595,0.98518087,0.98720546,0.98504581,0.97635678,0.98399691,0.98514925,0.7725618,0.98464002,0.98478312,0.98588846,0.98418978,0.98384362
4AA1F_X13_37,0.98574533,0.97539898,0.9787645,0.9780948,0.97822334,0.9755358,0.98335714,0.97820083,0.78714451,0.97606877,0.97722833,0.97493717,0.97643173,0.97863712,0.97432062,0.97863692,0.97725924,0.97766054,0.97872299,0.9769859,0.9751098,0.97666481,0.97715516,0.98292063,0.97776217,0.97722155,0.97729815,0.98564906,0.75773241,0.76919132,0.49283267,0.97709937,0.9748527,1,0.97815407,0.99586772,0.97772721,0.97873673,0.97724818,0.98777021,0.97759261,0.9768034,0.97464764,0.97831323,0.97737191,0.97770819,0.97741252,0.97569571,0.97632016,0.9776408,0.97892568,0.83067304,0.978268,0.97666651,0.97833488,0.97403703,0.97764983,0.98532057,0.97738055,0.97812718,0.77335822,0.9770075,0.97695309,0.97909102,0.97753476,0.97826142
4AA1F_X13_46,0.97938709,0.98563216,0.99284354,0.99271242,0.99280488,0.99373951,0.98344394,0.99327336,0.78798316,0.99383483,0.99222125,0.99338787,0.99074964,0.99207062,0.98529736,0.99163437,0.99364161,0.99313525,0.99144008,0.99374128,0.98606361,0.99306616,0.99360166,0.98388927,0.99249809,0.99205566,0.99251095,0.97852234,0.75908039,0.77077706,0.49278916,0.9930781,0.98453907,0.97815407,1,0.9782058,0.99305005,0.9919372,0.99365819,0.97826531,0.99341702,0.99291544,0.98577995,0.9936357,0.99371675,0.99201019,0.99346115,0.99242201,0.99358029,0.99337248,0.99177151,0.83210268,0.99407682,0.99386199,0.99215299,0.98500221,0.99150448,0.97935255,0.99253617,0.99233823,0.77601598,0.99347478,0.99323656,0.99260176,0.99324777,0.99174895
4AA1F_X13_48,0.98744829,0.97642184,0.97868938,0.97842616,0.97855348,0.97647032,0.98323341,0.97883447,0.78856187,0.97752984,0.97845479,0.97613016,0.97819386,0.97907387,0.97520736,0.9788867,0.97865419,0.97867777,0.97921474,0.9771936,0.97605031,0.97677144,0.97819561,0.98273873,0.97821641,0.97862866,0.97773459,0.98673655,0.75800639,0.76868197,0.49335,0.97769611,0.97559981,0.99586772,0.9782058,1,0.97853906,0.97939374,0.97692268,0.98762904,0.97686953,0.9783508,0.97546851,0.97878543,0.97714043,0.97796699,0.97729663,0.976617,0.97707976,0.97769099,0.9791842,0.83097295,0.97806696,0.97745395,0.97923239,0.97530461,0.97821976,0.98685852,0.97734912,0.97886503,0.77447254,0.97779757,0.9775207,0.97970764,0.97838751,0.9785353
4AA1F_X14_79,0.97778236,0.98352804,0.99355582,0.99570799,0.99336933,0.99329576,0.98228615,0.99427432,0.78804606,0.99185109,0.99546149,0.99050266,0.98883521,0.99293954,0.98307227,0.98826792,0.9896626,0.98997993,0.99318365,0.9924164,0.98494171,0.99132885,0.99343242,0.98252033,0.99279553,0.99141051,0.99440009,0.97747208,0.75931113,0.76679391,0.49289919,0.99287449,0.98400632,0.97772721,0.99305005,0.97853906,1,0.99341055,0.99302801,0.97858746,0.99421138,0.99192388,0.98292874,0.99209298,0.99378925,0.9919786,0.99375964,0.99316571,0.99190771,0.99212328,0.99108999,0.83059587,0.99266541,0.9905753,0.99177917,0.98263098,0.99301577,0.97623148,0.9937453,0.99357605,0.7759697,0.99319935,0.99270449,0.99398259,0.99950902,0.99166791
4AA1N_X16_28,0.97949777,0.98732408,0.99507666,0.99408667,0.99387616,0.99386294,0.98430299,0.99345349,0.78882554,0.9944697,0.99331618,0.99346585,0.99424507,0.99647628,0.98626634,0.9933646,0.99372637,0.99338308,0.99545478,0.99351517,0.9872527,0.99316619,0.99437476,0.98484248,0.99270578,0.99340237,0.9934307,0.98017852,0.76126251,0.77142397,0.49306327,0.99419874,0.98735934,0.97873673,0.9919372,0.97939374,0.99341055,1,0.99299011,0.97999603,0.99362123,0.9940012,0.98665931,0.99412958,0.99395995,0.99425191,0.99410635,0.99281478,0.99343004,0.99366445,0.99383453,0.83253926,0.99149138,0.99357415,0.99906682,0.98635958,0.99598288,0.97923706,0.99350995,0.99440422,0.77650493,0.99343768,0.9936539,0.99448857,0.99386768,0.99396721
4AB1K_X16_57,0.97807907,0.98618389,0.99388734,0.9942926,0.99348257,0.99620584,0.98345917,0.99177915,0.78780442,0.99728225,0.9933973,0.99840247,0.99194509,0.99370208,0.98570228,0.99346554,0.99355795,0.99368405,0.99326594,0.99839213,0.98541686,0.99834444,0.9937842,0.98348222,0.99323532,0.99212425,0.99446456,0.97872353,0.75996268,0.77071697,0.49231673,0.99340093,0.98477199,0.97724818,0.99365819,0.97692268,0.99302801,0.99299011,1,0.97815211,0.99707599,0.99223769,0.98508962,0.99351668,0.99788112,0.99340751,0.99731372,0.99321185,0.99865747,0.99362666,0.99393216,0.83035154,0.99292894,0.99906788,0.99354747,0.98547955,0.99290829,0.97799976,0.99107044,0.99325417,0.77663261,0.99813536,0.99873039,0.99353044,0.99333687,0.99259321
4AB1N_X14_13,0.98590505,0.97640039,0.97987451,0.98002948,0.97857504,0.97713099,0.98335948,0.9796173,0.78781632,0.97714268,0.97875514,0.97649203,0.97799413,0.97981019,0.97520868,0.97837506,0.97822149,0.97819,0.97947983,0.97797021,0.97676599,0.97759076,0.97900024,0.98390365,0.97847115,0.97722406,0.97938248,0.98776591,0.75787909,0.76880847,0.49224603,0.97801431,0.97679332,0.98777021,0.97826531,0.98762904,0.97858746,0.97999603,0.97815211,1,0.97848054,0.97805085,0.97596965,0.97937861,0.97880949,0.97827802,0.97870623,0.97645599,0.97822065,0.97845541,0.97942103,0.83140732,0.97946382,0.97830707,0.97937322,0.97631447,0.97856606,0.98567661,0.97904652,0.97911773,0.77257424,0.97844995,0.97836707,0.97956067,0.97857108,0.97915939
5PA1C_11JBS_66,0.97705489,0.98524205,0.99343419,0.99494262,0.99360538,0.99613816,0.98359721,0.99313165,0.78939411,0.99801861,0.99396947,0.99782588,0.99245438,0.99367285,0.9843364,0.99452556,0.99385929,0.99386462,0.99355779,0.9981776,0.98510518,0.99735576,0.99432943,0.98328478,0.99108774,0.99240742,0.99425845,0.97911575,0.76065193,0.77203788,0.49430118,0.99419416,0.98530291,0.97759261,0.99341702,0.97686953,0.99421138,0.99362123,0.99707599,0.97848054,1,0.99347147,0.98484022,0.99443384,0.99843481,0.99251357,0.99749754,0.99322844,0.99730277,0.99348536,0.99499185,0.83045692,0.99217509,0.99753504,0.99384424,0.98424953,0.99346462,0.97895162,0.99168146,0.99417786,0.77715984,0.99819534,0.99763062,0.99361574,0.99427957,0.9926905
5PA1C_11JBS_94,0.97838055,0.98269939,0.99433059,0.99476236,0.99255205,0.99252886,0.98174907,0.99079847,0.78840902,0.99120907,0.99211847,0.99115527,0.99272587,0.99394549,0.98412598,0.99303717,0.99104057,0.99199115,0.99513117,0.99265695,0.98739533,0.99107922,0.99228946,0.9814852,0.99049842,0.99092677,0.99392716,0.9788447,0.76016779,0.76938402,0.49231928,0.99283257,0.98356782,0.9768034,0.99291544,0.9783508,0.99192388,0.9940012,0.99223769,0.97805085,0.99347147,1,0.98314642,0.99273387,0.99293401,0.99193215,0.99442204,0.99188941,0.99106056,0.99168998,0.99480172,0.82911742,0.99187575,0.99096432,0.99233624,0.98146869,0.99432841,0.97771047,0.99250206,0.99448717,0.77550188,0.99251623,0.99201277,0.99477613,0.992102,0.99289697
5PA1F_11JBS_3,0.9767734,0.99801324,0.98522933,0.98452025,0.98335661,0.98263233,0.97770843,0.98284868,0.7880873,0.98351528,0.98312348,0.98202378,0.98187987,0.98660993,0.99497014,0.98405642,0.98296513,0.98476648,0.98610403,0.98376295,0.98784342,0.9832239,0.98299511,0.97694535,0.98249144,0.98315028,0.98389748,0.97701639,0.75827412,0.76568327,0.49282661,0.98247867,0.98700755,0.97464764,0.98577995,0.97546851,0.98292874,0.98665931,0.98508962,0.97596965,0.98484022,0.98314642,1,0.98416346,0.98487922,0.9829748,0.98486054,0.9808235,0.98261549,0.98353097,0.98549951,0.82920666,0.98538754,0.98375942,0.9851302,0.99715734,0.98487732,0.97671708,0.98282296,0.98541228,0.77370748,0.98545265,0.98328919,0.98561503,0.98262234,0.98254591
5PA1N_11JBS_61,0.97701179,0.9842961,0.99384063,0.99476492,0.99225596,0.99332393,0.98248833,0.99128341,0.78893012,0.99390534,0.99125309,0.99233798,0.99026394,0.99360567,0.98252732,0.9933548,0.99756047,0.99326661,0.99301572,0.99382886,0.98492711,0.99286337,0.99389795,0.98269649,0.9904961,0.99145293,0.99427841,0.97865622,0.75999044,0.76904436,0.49423611,0.99322482,0.98487394,0.97831323,0.9936357,0.97878543,0.99209298,0.99412958,0.99351668,0.97937861,0.99443384,0.99273387,0.98416346,1,0.99385076,0.99103751,0.99540088,0.9910776,0.99383065,0.99527106,0.99499459,0.82913075,0.99239804,0.99332851,0.99145925,0.98238931,0.9923067,0.97706091,0.99170958,0.99225895,0.77604196,0.99434892,0.99343235,0.99401155,0.99167316,0.99220385
5PB3C_22YC_85,0.97793183,0.98610159,0.99319944,0.99483502,0.99341229,0.99591737,0.98331383,0.99248469,0.78937672,0.99747767,0.99322243,0.99730048,0.99221396,0.99434157,0.98501715,0.99468249,0.99425767,0.99347726,0.99365354,0.99787411,0.98508228,0.99734465,0.99449705,0.98303316,0.99127982,0.99240619,0.9941561,0.97859508,0.76042693,0.77131166,0.492416,0.99426743,0.98518212,0.97737191,0.99371675,0.97714043,0.99378925,0.99395995,0.99788112,0.97880949,0.99843481,0.99293401,0.98487922,0.99385076,1,0.9932899,0.99753597,0.99322262,0.99731211,0.99324896,0.9945175,0.83086937,0.99214369,0.99753857,0.99340936,0.98422133,0.9933327,0.97856134,0.99129743,0.99383771,0.77700646,0.99760412,0.99754507,0.99361083,0.99419357,0.9931638
5PB3C_22YC_86,0.9765948,0.98417195,0.99590551,0.99365864,0.99260856,0.99072069,0.98003859,0.99082672,0.788719,0.99217464,0.99156067,0.99183501,0.99014263,0.99317769,0.98292355,0.99192369,0.99076962,0.99267941,0.99334829,0.99331007,0.98436779,0.99191361,0.9922288,0.98052507,0.99126105,0.99092655,0.99119367,0.9783065,0.75943603,0.76981935,0.49244024,0.99205078,0.98469593,0.97770819,0.99201019,0.97796699,0.9919786,0.99425191,0.99340751,0.97827802,0.99251357,0.99193215,0.9829748,0.99103751,0.9932899,1,0.99339465,0.99037648,0.99297825,0.99212575,0.99225233,0.83010293,0.99124571,0.9928816,0.99304171,0.9832773,0.99253384,0.97628993,0.99141567,0.99434357,0.77696828,0.99212127,0.99357625,0.99439833,0.99228451,0.99183886
5PB3N_22YC_31,0.9779482,0.98586399,0.99308104,0.99467842,0.99355986,0.9975593,0.98299786,0.99304056,0.7909027,0.99791427,0.99361111,0.99673973,0.9923754,0.99400587,0.98485126,0.99445469,0.9950192,0.99399234,0.9936257,0.99723225,0.98676306,0.99637077,0.99410425,0.98358993,0.99174563,0.99312815,0.99562329,0.98026283,0.76102445,0.77132376,0.49284,0.99431305,0.98556849,0.97741252,0.99346115,0.97729663,0.99375964,0.99410635,0.99731372,0.97870623,0.99749754,0.99442204,0.98486054,0.99540088,0.99753597,0.99339465,1,0.9940794,0.99663291,0.99423663,0.99440428,0.8321383,0.99284507,0.99753315,0.99385875,0.98470764,0.99354576,0.97930762,0.99250414,0.99377106,0.77710793,0.99658747,0.99726664,0.99416604,0.99387998,0.99287112
7AA1C_28JC_11,0.97664353,0.98096974,0.99158032,0.99347368,0.99380022,0.9925793,0.98032938,0.99103285,0.78714208,0.9909294,0.99391137,0.98903299,0.98650303,0.99323324,0.98125941,0.98906682,0.98947275,0.99025688,0.99345155,0.99215218,0.98395775,0.99141309,0.99051757,0.98004839,0.99090075,0.98969952,0.9926811,0.97781104,0.75898418,0.76802799,0.4943373,0.9968847,0.98424599,0.97569571,0.99242201,0.976617,0.99316571,0.99281478,0.99321185,0.97645599,0.99322844,0.99188941,0.9808235,0.9910776,0.99322262,0.99037648,0.9940794,1,0.99369753,0.98942637,0.99177694,0.83102399,0.9910275,0.99168198,0.99155237,0.98062114,0.99272037,0.97540863,0.99057668,0.99377315,0.77497026,0.9926738,0.99245898,0.9932561,0.99412855,0.99087916
7AA1C_28JC_5,0.9773594,0.98256232,0.9921381,0.99403894,0.99199134,0.99590737,0.98233208,0.99145912,0.7877901,0.99531834,0.99221612,0.99496764,0.9891437,0.99350047,0.98305692,0.99032118,0.99201537,0.99231847,0.99346827,0.9966745,0.98359701,0.99682646,0.99263449,0.98363598,0.99157304,0.99044377,0.99413511,0.97719007,0.7605,0.7692749,0.49238153,0.99211473,0.98369451,0.97632016,0.99358029,0.97707976,0.99190771,0.99343004,0.99865747,0.97822065,0.99730277,0.99106056,0.98261549,0.99383065,0.99731211,0.99297825,0.99663291,0.99369753,1,0.99209515,0.99291686,0.83005036,0.99255473,0.99679517,0.99301014,0.98248557,0.99296074,0.97612993,0.99174793,0.99377757,0.77565623,0.99821188,0.9968221,0.99395365,0.99176043,0.99131848
7AA1C_X14_93,0.97724988,0.98482478,0.99263359,0.9950771,0.99073444,0.99506099,0.98190693,0.99189435,0.78667926,0.9931898,0.99097976,0.99110708,0.98993657,0.99349196,0.98284995,0.9929504,0.99537113,0.99348899,0.99267738,0.9915781,0.98379244,0.99135191,0.99299288,0.98301777,0.98915088,0.99065837,0.99382679,0.97667013,0.7595397,0.7685861,0.49392137,0.99267119,0.98381043,0.9776408,0.99337248,0.97769099,0.99212328,0.99366445,0.99362666,0.97845541,0.99348536,0.99168998,0.98353097,0.99527106,0.99324896,0.99212575,0.99423663,0.98942637,0.99209515,1,0.99386818,0.82919586,0.99249155,0.99315821,0.99182486,0.98330887,0.99215462,0.97735629,0.99233411,0.99368244,0.7748479,0.99373089,0.99174909,0.99306591,0.99218627,0.99216651
7AA4C_23YAC_39,0.97993838,0.98520637,0.99507792,0.99414052,0.99332197,0.99431235,0.9843821,0.99285915,0.78905936,0.99328872,0.99133099,0.99265107,0.99155892,0.99403551,0.98497589,0.99948708,0.99291393,0.9944157,0.99399721,0.99466324,0.98612802,0.99256614,0.99201547,0.98431611,0.99361489,0.99172931,0.99444526,0.97725205,0.76059101,0.77206372,0.4931,0.9929291,0.98454348,0.97892568,0.99177151,0.9791842,0.99108999,0.99383453,0.99393216,0.97942103,0.99499185,0.99480172,0.98549951,0.99499459,0.9945175,0.99225233,0.99440428,0.99177694,0.99291686,0.99386818,1,0.83038079,0.99342649,0.99301408,0.99313008,0.98489162,0.99374042,0.9785795,0.99389454,0.99437805,0.77801381,0.99472313,0.99444786,0.99570694,0.9931832,0.99285026
7AA4F_Z04_59,0.83243906,0.83062591,0.83063448,0.83113747,0.82946962,0.82936182,0.8304354,0.82996013,0.80434486,0.83183453,0.8309089,0.82918175,0.83231024,0.83174777,0.82863847,0.8288047,0.83014587,0.83011261,0.832479,0.82850339,0.82937932,0.83002336,0.83140415,0.82946955,0.82773864,0.83001286,0.83058522,0.82959862,0.76736048,0.77586255,0.49362786,0.83097758,0.82923875,0.83067304,0.83210268,0.83097295,0.83059587,0.83253926,0.83035154,0.83140732,0.83045692,0.82911742,0.82920666,0.82913075,0.83086937,0.83010293,0.8321383,0.83102399,0.83005036,0.82919586,0.83038079,1,0.83099609,0.8296611,0.83256137,0.82952547,0.83188652,0.83065657,0.83086466,0.83225169,0.77772409,0.83057236,0.82842222,0.83259179,0.83012552,0.83136585
