Sample Name,KitNumber,Total reads,Duplicate Reads,Kept reads,Percent Kept,,SAMPLE_NAME,TUBE,PLATE,WELL,LOCATION,SID,TP,KIT
KIT_53F_MG2_H10,,650,28,622,0.956923077,TRUE,KIT_53F_MG2_H10,53,2,H10,F,2AB,3,KIT_53
KIT_53F_MG4_D3,,599084,585998,13086,0.021843348,TRUE,KIT_53F_MG4_D3,53,4,D3,F,2AB,3,KIT_53
KIT_53K_MG2_F10,,1692,84,1608,0.95035461,TRUE,KIT_53K_MG2_F10,53,2,F10,K,2AB,3,KIT_53
KIT_53K_MG4_B3,,1463184,1446564,16620,0.01135879,TRUE,KIT_53K_MG4_B3,53,4,B3,K,2AB,3,KIT_53
KIT_53N_MG2_G10,,2950,170,2780,0.942372881,TRUE,KIT_53N_MG2_G10,53,2,G10,N,2AB,3,KIT_53
KIT_53N_MG4_C3,,72736,54666,18070,0.248432688,TRUE,KIT_53N_MG4_C3,53,4,C3,N,2AB,3,KIT_53
KIT_54C_OR_12C_MG2_A4,,165916,10838,155078,0.934677789,TRUE,KIT_54C_OR_12C_MG2_A4,54,2,A4,C,1PB,1,KIT_54C_OR_12
KIT_54F_OR_12F_MG2_D4,,18910,1114,17796,0.941089371,TRUE,KIT_54F_OR_12F_MG2_D4,54,2,D4,F,1PB,1,KIT_54F_OR_12
KIT_54K_OR_12K_MG2_B4,,73304,3710,69594,0.949388846,TRUE,KIT_54K_OR_12K_MG2_B4,54,2,B4,K,1PB,1,KIT_54K_OR_12
KIT_54N_OR_12N_MG2_C4,,70056,4534,65522,0.935280347,TRUE,KIT_54N_OR_12N_MG2_C4,54,2,C4,N,1PB,1,KIT_54N_OR_12
KIT_57C_MG7_A7,,217916,209638,8278,0.037987114,TRUE,KIT_57C_MG7_A7,57,7,A7,C,23AA,1,KIT_57
KIT_57K_MG7_B7,,821728,815028,6700,0.00815355,TRUE,KIT_57K_MG7_B7,57,7,B7,K,23AA,1,KIT_57
KIT_57N_MG7_C7,,136544,125912,10632,0.077865011,TRUE,KIT_57N_MG7_C7,57,7,C7,N,23AA,1,KIT_57
KIT_60C_MG2_E3,,5932,386,5546,0.934929198,TRUE,KIT_60C_MG2_E3,60,2,E3,C,1PA,1,KIT_60
KIT_60F_MG2_H3,,57022,5222,51800,0.908421311,TRUE,KIT_60F_MG2_H3,60,2,H3,F,1PA,1,KIT_60
KIT_60K_MG2_F3,,87918,6316,81602,0.928160331,TRUE,KIT_60K_MG2_F3,60,2,F3,K,1PA,1,KIT_60
KIT_60N_MG2_G3,,69056,4746,64310,0.93127317,TRUE,KIT_60N_MG2_G3,60,2,G3,N,1PA,1,KIT_60
KIT_61C_MG1_E6,,564,52,512,0.907801418,TRUE,KIT_61C_MG1_E6,61,1,E6,C,5AB,1,KIT_61
KIT_61C_MG4_A6,,6,2,4,0.666666667,TRUE,KIT_61C_MG4_A6,61,4,A6,C,5AB,1,KIT_61
KIT_61F_MG1_H6,,1296,242,1054,0.813271605,TRUE,KIT_61F_MG1_H6,61,1,H6,F,5AB,1,KIT_61
KIT_61F_MG4_D6,,1491834,1472274,19560,0.013111378,TRUE,KIT_61F_MG4_D6,61,4,D6,F,5AB,1,KIT_61
KIT_61K_MG1_F6,,926,96,830,0.896328294,TRUE,KIT_61K_MG1_F6,61,1,F6,K,5AB,1,KIT_61
KIT_61K_MG4_B6,,134918,128672,6246,0.046294786,TRUE,KIT_61K_MG4_B6,61,4,B6,K,5AB,1,KIT_61
KIT_61N_MG1_G6,,2710,346,2364,0.872324723,TRUE,KIT_61N_MG1_G6,61,1,G6,N,5AB,1,KIT_61
KIT_61N_MG4_C6,,50626,28578,22048,0.435507447,TRUE,KIT_61N_MG4_C6,61,4,C6,N,5AB,1,KIT_61
KIT_63C_MG1_E12,,338506,31826,306680,0.905980987,TRUE,KIT_63C_MG1_E12,63,1,E12,C,1AA,3,KIT_63
KIT_63C_MG2_E,,50618,3732,46886,0.926271287,FALSE,KIT_63C_MG2_E1,63,2,E1,C,1AA,3,KIT_63
KIT_63F_MG1_H12,,147314,13084,134230,0.911182915,TRUE,KIT_63F_MG1_H12,63,1,H12,F,1AA,3,KIT_63
KIT_63F_MG2_H,,75272,4912,70360,0.934743331,FALSE,KIT_63F_MG2_H1,63,2,H1,F,1AA,3,KIT_63
KIT_63K_MG1_F12,,360374,46064,314310,0.872177238,TRUE,KIT_63K_MG1_F12,63,1,F12,K,1AA,3,KIT_63
KIT_63K_MG2_F,,110834,8124,102710,0.926701193,FALSE,KIT_63K_MG2_F1,63,2,F1,K,1AA,3,KIT_63
KIT_63N_MG1_G12,,261702,14028,247674,0.946397047,TRUE,KIT_63N_MG1_G12,63,1,G12,N,1AA,3,KIT_63
KIT_63N_MG2_G,,229048,13682,215366,0.940265796,FALSE,KIT_63N_MG2_G1,63,2,G1,N,1AA,3,KIT_63
KIT_64C_MG5_A3,,98598,80334,18264,0.185237023,TRUE,KIT_64C_MG5_A3,64,5,A3,C,24UU,3,KIT_64
KIT_64F_MG5_D3,,215438,197952,17486,0.081164883,TRUE,KIT_64F_MG5_D3,64,5,D3,F,24UU,3,KIT_64
KIT_64K_MG5_B3,,172272,147960,24312,0.141125662,TRUE,KIT_64K_MG5_B3,64,5,B3,K,24UU,3,KIT_64
KIT_64N_MG5_C3,,66166,46716,19450,0.293957622,TRUE,KIT_64N_MG5_C3,64,5,C3,N,24UU,3,KIT_64
KIT_65C_MG1_A6,,10024,1126,8898,0.887669593,TRUE,KIT_65C_MG1_A6,65,1,A6,C,7AA,1,KIT_65
KIT_65C_MG2_A9,,648,12,636,0.981481481,TRUE,KIT_65C_MG2_A9,65,2,A9,C,7AA,1,KIT_65
KIT_65C_MG4_A8,,1050498,988102,62396,0.059396591,TRUE,KIT_65C_MG4_A8,65,4,A8,C,7AA,1,KIT_65
KIT_65C_MG4_F9,,349150,270736,78414,0.224585422,TRUE,KIT_65C_MG4_F9,65,4,F9,C,7AA,1,KIT_65
KIT_65F_MG1_D6,,12110,1402,10708,0.884227911,TRUE,KIT_65F_MG1_D6,65,1,D6,F,7AA,1,KIT_65
KIT_65F_MG2_D9,,4498,130,4368,0.971098266,TRUE,KIT_65F_MG2_D9,65,2,D9,F,7AA,1,KIT_65
KIT_65K_MG1_B6,,5330,668,4662,0.87467167,TRUE,KIT_65K_MG1_B6,65,1,B6,K,7AA,1,KIT_65
KIT_65K_MG2_B9,,2214,66,2148,0.970189702,TRUE,KIT_65K_MG2_B9,65,2,B9,K,7AA,1,KIT_65
KIT_65K_MG4_G9,,122762,101104,21658,0.176422672,TRUE,KIT_65K_MG4_G9,65,4,G9,K,7AA,1,KIT_65
KIT_65N_MG1_C6,,196832,26120,170712,0.867298,TRUE,KIT_65N_MG1_C6,65,1,C6,N,7AA,1,KIT_65
KIT_65N_MG2_C9,,2204,80,2124,0.963702359,TRUE,KIT_65N_MG2_C9,65,2,C9,N,7AA,1,KIT_65
KIT_65N_MG4_H9,,7099152,6173840,925312,0.130341201,TRUE,KIT_65N_MG4_H9,65,4,H9,N,7AA,1,KIT_65
KIT_65RC_MG2_E9,,3068,86,2982,0.971968709,TRUE,KIT_65RC_MG2_E9,65,2,E9,C,7AA,1,KIT_65R
KIT_65RF_MG2_H9,,612,22,590,0.964052288,TRUE,KIT_65RF_MG2_H9,65,2,H9,F,7AA,1,KIT_65R
KIT_65RK_MG2_F9,,1080,38,1042,0.964814815,TRUE,KIT_65RK_MG2_F9,65,2,F9,K,7AA,1,KIT_65R
KIT_65RN_MG2_G9,,1076,30,1046,0.972118959,TRUE,KIT_65RN_MG2_G9,65,2,G9,N,7AA,1,KIT_65R
KIT_66C_MG2_A2,,84442,5728,78714,0.932166457,TRUE,KIT_66C_MG2_A2,20,2,A2,C,1AA,1,KIT_66
KIT_66C_MG5_A2,,430492,336340,94152,0.218707897,TRUE,KIT_66C_MG5_A2,66,5,A2,C,11AA,3,KIT_66
KIT_66F_MG2_D2,,7942,528,7414,0.933518006,TRUE,KIT_66F_MG2_D2,20,2,D2,F,1AA,1,KIT_66
KIT_66F_MG5_D2,,1037496,899356,138140,0.133147501,TRUE,KIT_66F_MG5_D2,66,5,D2,F,11AA,3,KIT_66
KIT_66K_MG2_B2,,72182,4308,67874,0.940317531,TRUE,KIT_66K_MG2_B2,20,2,B2,K,1AA,1,KIT_66
KIT_66K_MG5_B2,,1169120,1070478,98642,0.084372862,TRUE,KIT_66K_MG5_B2,66,5,B2,K,11AA,3,KIT_66
KIT_66N_MG2_C2,,134032,8406,125626,0.937283634,TRUE,KIT_66N_MG2_C2,20,2,C2,N,1AA,1,KIT_66
KIT_66N_MG5_C2,,312828,259106,53722,0.171730152,TRUE,KIT_66N_MG5_C2,66,5,C2,N,11AA,3,KIT_66
KIT_68C_MG5_E4,,50484,44714,5770,0.114293638,TRUE,KIT_68C_MG5_E4,68,5,E4,C,11PA,3,KIT_68
KIT_68F_MG5_H4,,11694,11596,98,0.008380366,TRUE,KIT_68F_MG5_H4,68,5,H4,F,11PA,3,KIT_68
KIT_68K_MG5_F4,,52966,42020,10946,0.206660877,TRUE,KIT_68K_MG5_F4,68,5,F4,K,11PA,3,KIT_68
KIT_68N_MG5_G4,,24294,17328,6966,0.286737466,TRUE,KIT_68N_MG5_G4,68,5,G4,N,11PA,3,KIT_68
KIT_69C_MG2_A,,1286,88,1198,0.931570762,FALSE,KIT_69C_MG2_A1,69,2,A1,C,5AB,3,KIT_69
KIT_69C_MG4_C2,,47262,37054,10208,0.215987474,TRUE,KIT_69C_MG4_C2,69,4,C2,C,5AB,3,KIT_69
KIT_69F_MG2_D,,364,24,340,0.934065934,FALSE,KIT_69F_MG2_D1,69,2,D1,F,5AB,3,KIT_69
KIT_69F_MG4_F2,,76328,61506,14822,0.19418824,TRUE,KIT_69F_MG4_F2,69,4,F2,F,5AB,3,KIT_69
KIT_69K_MG2_B,,1666,92,1574,0.944777911,FALSE,KIT_69K_MG2_B1,69,2,B1,K,5AB,3,KIT_69
KIT_69K_MG4_D2,,212664,192540,20124,0.094628146,TRUE,KIT_69K_MG4_D2,69,4,D2,K,5AB,3,KIT_69
KIT_69N_MG2,,1590,76,1514,0.952201258,FALSE,KIT_69N_MG2_C1,69,2,C1,N,5AB,3,KIT_69
KIT_69N_MG4_E2,,205854,170408,35446,0.172189999,TRUE,KIT_69N_MG4_E2,69,4,E2,N,5AB,3,KIT_69
KIT_71C_MG5_E,,10824,10600,224,0.020694752,FALSE,KIT_71C_MG5_E1,71,5,E1,C,14AA,3,KIT_71
KIT_71F_MG5_H,,514552,478936,35616,0.069217494,FALSE,KIT_71F_MG5_H1,71,5,H1,F,14AA,3,KIT_71
KIT_71K_MG5_F,,140164,127532,12632,0.090122999,FALSE,KIT_71K_MG5_F1,71,5,F1,K,14AA,3,KIT_71
KIT_71N_MG5_G,,77678,66110,11568,0.148922475,FALSE,KIT_71N_MG5_G1,71,5,G1,N,14AA,3,KIT_71
KIT_72C_MG2_A8,,20342,1302,19040,0.935994494,TRUE,KIT_72C_MG2_A8,72,2,A8,C,8AC,3,KIT_72
KIT_72C_MG4_E3,,256812,147892,108920,0.424123483,TRUE,KIT_72C_MG4_E3,72,4,E3,C,8AC,3,KIT_72
KIT_72F_MG2_D8,,10212,658,9554,0.935566001,TRUE,KIT_72F_MG2_D8,72,2,D8,F,8AC,3,KIT_72
KIT_72F_MG4_H3,,2955200,2676492,278708,0.094311045,TRUE,KIT_72F_MG4_H3,72,4,H3,F,8AC,3,KIT_72
KIT_72K_MG2_B8,,152620,10352,142268,0.932171406,TRUE,KIT_72K_MG2_B8,72,2,B8,K,8AC,3,KIT_72
KIT_72K_MG4_F3,,2502,410,2092,0.836131095,TRUE,KIT_72K_MG4_F3,72,4,F3,K,8AC,3,KIT_72
KIT_72N_MG2_C8,,43656,2682,40974,0.938565146,TRUE,KIT_72N_MG2_C8,72,2,C8,N,8AC,3,KIT_72
KIT_72N_MG4_G3,,411368,246486,164882,0.40081387,TRUE,KIT_72N_MG4_G3,72,4,G3,N,8AC,3,KIT_72
KIT_74C_MG5_A,,10525634,9465710,1059924,0.100699302,FALSE,KIT_74C_MG5_A1,74,5,A1,C,14PA,3,KIT_74
KIT_74F_MG5_D,,20344206,15355338,4988868,0.245223038,FALSE,KIT_74F_MG5_D1,74,5,D1,F,14PA,3,KIT_74
KIT_74K_MG5_B,,3129874,2157546,972328,0.310660429,FALSE,KIT_74K_MG5_B1,74,5,B1,K,14PA,3,KIT_74
KIT_74N_MG5,,4881266,4780434,100832,0.020656936,FALSE,KIT_74N_MG5_C1,74,5,C1,N,14PA,3,KIT_74
KIT_75C_MG3_E4,,241946,100758,141188,0.583551702,TRUE,KIT_75C_MG3_E4,75,3,E4,C,2AA,3,KIT_75
KIT_75F_MG3_H4,,190672,91210,99462,0.521639255,TRUE,KIT_75F_MG3_H4,75,3,H4,F,2AA,3,KIT_75
KIT_75K_MG3_F4,,224782,107072,117710,0.523662927,TRUE,KIT_75K_MG3_F4,75,3,F4,K,2AA,3,KIT_75
KIT_75N_MG3_G4,,284786,93360,191426,0.672174896,TRUE,KIT_75N_MG3_G4,75,3,G4,N,2AA,3,KIT_75
KIT_76C_MG3_A6,,1900992,596948,1304044,0.685980793,TRUE,KIT_76C_MG3_A6,76,3,A6,C,2PA,3,KIT_76
KIT_76F_MG3_D6,,1191700,448696,743004,0.62348242,TRUE,KIT_76F_MG3_D6,76,3,D6,F,2PA,3,KIT_76
KIT_76K_MG3_B6,,185356,80304,105052,0.566758022,TRUE,KIT_76K_MG3_B6,76,3,B6,K,2PA,3,KIT_76
KIT_76N_MG3_C6,,392096,197920,194176,0.495225659,TRUE,KIT_76N_MG3_C6,76,3,C6,N,2PA,3,KIT_76
KIT_77C_MG4_E,,1806892,1495120,311772,0.172546007,FALSE,KIT_77C_MG4_E11,77,4,E11,C,9PA,3,KIT_77
KIT_77C_MG7_A9,,6160040,5746336,413704,0.067159304,TRUE,KIT_77C_MG7_A9,77,7,A9,C,9PA,3,KIT_77
KIT_77F_MG4_H,,1083168,932748,150420,0.138870425,FALSE,KIT_77F_MG4_H11,77,4,H11,F,9PA,3,KIT_77
KIT_77K_MG4_F,,3318250,2961682,356568,0.107456641,FALSE,KIT_77K_MG4_F11,77,4,F11,K,9PA,3,KIT_77
KIT_77K_MG7_B9,,6743692,6261666,482026,0.071478057,TRUE,KIT_77K_MG7_B9,77,7,B9,K,9PA,3,KIT_77
KIT_77N_MG4_G,,3061824,2457852,603972,0.197258889,FALSE,KIT_77N_MG4_G11,77,4,G11,N,9PA,3,KIT_77
KIT_77N_MG7_C9,,2782652,2620464,162188,0.058285405,TRUE,KIT_77N_MG7_C9,77,7,C9,N,9PA,3,KIT_77
KIT_78C_MG7_A,,308118,276828,31290,0.101552003,FALSE,KIT_78C_MG7_A1,78,7,A1,C,12AA,4,KIT_78
KIT_78K_MG7_B,,1135896,1100958,34938,0.030758098,FALSE,KIT_78K_MG7_B1,78,7,B1,K,12AA,4,KIT_78
KIT_78N_MG7,,338864,317782,21082,0.062213749,FALSE,KIT_78N_MG7_C1,78,7,C1,N,12AA,4,KIT_78
KIT_79C_MG3_A3,,15794,5036,10758,0.681144739,TRUE,KIT_79C_MG3_A3,79,3,A3,C,5AA,3,KIT_79
KIT_79C_MG4_A4,,244478,219606,24872,0.101735125,TRUE,KIT_79C_MG4_A4,79,4,A4,C,5AA,3,KIT_79
KIT_79F_MG3_D3,,8988,2594,6394,0.711392968,TRUE,KIT_79F_MG3_D3,79,3,D3,F,5AA,3,KIT_79
KIT_79F_MG4_D4,,198644,188558,10086,0.050774249,TRUE,KIT_79F_MG4_D4,79,4,D4,F,5AA,3,KIT_79
KIT_79K_MG3_B3,,16294,4646,11648,0.714864367,TRUE,KIT_79K_MG3_B3,79,3,B3,K,5AA,3,KIT_79
KIT_79K_MG4_B4,,301984,285900,16084,0.0532611,TRUE,KIT_79K_MG4_B4,79,4,B4,K,5AA,3,KIT_79
KIT_79N_MG3_C3,,7842,3020,4822,0.61489416,TRUE,KIT_79N_MG3_C3,79,3,C3,N,5AA,3,KIT_79
KIT_79N_MG4_C4,,407376,371100,36276,0.089047956,TRUE,KIT_79N_MG4_C4,79,4,C4,N,5AA,3,KIT_79
KIT_7F_MG6_D4,,19690290,18292950,1397340,0.070965943,TRUE,KIT_7F_MG6_D4,7,6,D4,F,15PB,1,KIT_7
KIT_7K_MG6_B4,,9854798,8751422,1103376,0.11196333,TRUE,KIT_7K_MG6_B4,7,6,B4,K,15PB,1,KIT_7
KIT_7N_MG6_C4,,21662370,16751400,4910970,0.226705111,TRUE,KIT_7N_MG6_C4,7,6,C4,N,15PB,1,KIT_7
KIT_80C_MG5_E2,,1288102,1129986,158116,0.122751149,TRUE,KIT_80C_MG5_E2,80,5,E2,C,19PA,3,KIT_80
KIT_80F_MG5_H2,,566602,535472,31130,0.054941564,TRUE,KIT_80F_MG5_H2,80,5,H2,F,19PA,3,KIT_80
KIT_80K_MG5_F2,,782566,749444,33122,0.042324865,TRUE,KIT_80K_MG5_F2,80,5,F2,K,19PA,3,KIT_80
KIT_80N_MG5_G2,,1391288,1155500,235788,0.169474616,TRUE,KIT_80N_MG5_G2,80,5,G2,N,19PA,3,KIT_80
KIT_81C_MG1_A10,,738554,85674,652880,0.883997649,TRUE,KIT_81C_MG1_A10,83,1,A10,C,0CC,2,KIT_81
KIT_81C_MG6_E5,,12604822,11177812,1427010,0.113211436,TRUE,KIT_81C_MG6_E5,81,6,E5,C,20AA,2,KIT_81
KIT_81F_MG1_D10,,2564886,253746,2311140,0.901069287,TRUE,KIT_81F_MG1_D10,83,1,D10,F,0CC,2,KIT_81
KIT_81F_MG6_H5,,47333254,41744036,5589218,0.118082268,TRUE,KIT_81F_MG6_H5,81,6,H5,F,20AA,2,KIT_81
KIT_81K_MG1_B10,,1221946,158758,1063188,0.870077728,TRUE,KIT_81K_MG1_B10,83,1,B10,K,0CC,2,KIT_81
KIT_81K_MG6_F5,,19825866,18354702,1471164,0.074204274,TRUE,KIT_81K_MG6_F5,81,6,F5,K,20AA,2,KIT_81
KIT_81N_MG1_C10,,3176516,454352,2722164,0.856965304,TRUE,KIT_81N_MG1_C10,83,1,C10,N,0CC,2,KIT_81
KIT_81N_MG6_G5,,35305614,28434220,6871394,0.194626101,TRUE,KIT_81N_MG6_G5,81,6,G5,N,20AA,2,KIT_81
KIT_82C_MG4_A10,,6247774,6053016,194758,0.031172382,TRUE,KIT_82C_MG4_A10,82,4,A10,C,12AA,3,KIT_82
KIT_82C_MG7_E10,,8,4,4,0.5,TRUE,KIT_82C_MG7_E10,82,7,E10,C,12AA,3,KIT_82
KIT_82F_MG4_D10,,200630,193910,6720,0.033494492,TRUE,KIT_82F_MG4_D10,82,4,D10,F,12AA,3,KIT_82
KIT_82F_MG7_H10,,953148,903510,49638,0.052077956,TRUE,KIT_82F_MG7_H10,82,7,H10,F,12AA,3,KIT_82
KIT_82K_MG4_B10,,4344300,4167092,177208,0.040790921,TRUE,KIT_82K_MG4_B10,82,4,B10,K,12AA,3,KIT_82
KIT_82K_MG7_F10,,0,0,0,0,TRUE,KIT_82K_MG7_F10,82,7,F10,K,12AA,3,KIT_82
KIT_82N_MG4_C10,,90050,58936,31114,0.345519156,TRUE,KIT_82N_MG4_C10,82,4,C10,N,12AA,3,KIT_82
KIT_82N_MG7_G10,,559990,479334,80656,0.144031143,TRUE,KIT_82N_MG7_G10,82,7,G10,N,12AA,3,KIT_82
KIT_833C_MG4_B9,,2254538,1782502,472036,0.209371499,TRUE,KIT_833C_MG4_B9,83,4,B9,C,0CC,2,KIT_833
KIT_83C_MG1_E9,,167338,6522,160816,0.961024991,TRUE,KIT_83C_MG1_E9,83,1,E9,C,0CC,2,KIT_83
KIT_83F_MG1_H9,,4570,218,4352,0.952297593,TRUE,KIT_83F_MG1_H9,83,1,H9,F,0CC,2,KIT_83
KIT_83F_MG4_E9,,4777272,4630882,146390,0.030643011,TRUE,KIT_83F_MG4_E9,83,4,E9,F,0CC,2,KIT_83
KIT_83K_MG1_F9,,88040,3724,84316,0.957701045,TRUE,KIT_83K_MG1_F9,83,1,F9,K,0CC,2,KIT_83
KIT_83K_MG4_C9,,3074330,2274340,799990,0.260216047,TRUE,KIT_83K_MG4_C9,83,4,C9,K,0CC,2,KIT_83
KIT_83N_MG1_G9,,264354,9438,254916,0.964297873,TRUE,KIT_83N_MG1_G9,83,1,G9,N,0CC,2,KIT_83
KIT_83N_MG4_D9,,8197554,6325294,1872260,0.228392518,TRUE,KIT_83N_MG4_D9,83,4,D9,N,0CC,2,KIT_83
KIT_85C_MG5_E3,,38930,32988,5942,0.152632931,TRUE,KIT_85C_MG5_E3,85,5,E3,C,13AA,3,KIT_85
KIT_85F_MG5_H3,,559586,523712,35874,0.064108108,TRUE,KIT_85F_MG5_H3,85,5,H3,F,13AA,3,KIT_85
KIT_85K_MG5_F3,,246570,237906,8664,0.035138095,TRUE,KIT_85K_MG5_F3,85,5,F3,K,13AA,3,KIT_85
KIT_85N_MG5_G3,,247824,208648,39176,0.158079928,TRUE,KIT_85N_MG5_G3,85,5,G3,N,13AA,3,KIT_85
KIT_86C_MG7_E6,,0,0,0,0,TRUE,KIT_86C_MG7_E6,86,7,E6,C,12PA,4,KIT_86
KIT_86F_MG7_H6,,5561468,4651876,909592,0.163552501,TRUE,KIT_86F_MG7_H6,86,7,H6,F,12PA,4,KIT_86
KIT_86K_MG7_F6,,0,0,0,0,TRUE,KIT_86K_MG7_F6,86,7,F6,K,12PA,4,KIT_86
KIT_86N_MG7_G6,,9796756,8987326,809430,0.082622248,TRUE,KIT_86N_MG7_G6,86,7,G6,N,12PA,4,KIT_86
KIT_88C_MG3_A2,,1813754,271110,1542644,0.850525485,TRUE,KIT_88C_MG3_A2,88,3,A2,C,5PB,3,KIT_88
KIT_88F_MG3_D2,,1333992,310374,1023618,0.767334437,TRUE,KIT_88F_MG3_D2,88,3,D2,F,5PB,3,KIT_88
KIT_88K_MG3_B2,,1712740,587366,1125374,0.657060616,TRUE,KIT_88K_MG3_B2,88,3,B2,K,5PB,3,KIT_88
KIT_88N_MG3_C2,,2984646,757790,2226856,0.746103893,TRUE,KIT_88N_MG3_C2,88,3,C2,N,5PB,3,KIT_88
KIT_89C_MG7_A10,,12095912,10791620,1304292,0.107829157,TRUE,KIT_89C_MG7_A10,89,7,A10,C,16PB,3,KIT_89
KIT_89K_MG7_B10,,8058686,6505992,1552694,0.192673346,TRUE,KIT_89K_MG7_B10,89,7,B10,K,16PB,3,KIT_89
KIT_89N_MG7_C10,,5432954,4235678,1197276,0.220372932,TRUE,KIT_89N_MG7_C10,89,7,C10,N,16PB,3,KIT_89
KIT_8C_MG1_E7,,1682,162,1520,0.903686088,TRUE,KIT_8C_MG1_E7,8,1,E7,C,4AC,1,KIT_8
KIT_8C_MG5_E6,,4782,4252,530,0.110832288,TRUE,KIT_8C_MG5_E6,8,5,E6,C,4AC,1,KIT_8
KIT_8F_MG1_H7,,2308,404,1904,0.824956672,TRUE,KIT_8F_MG1_H7,8,1,H7,F,4AC,1,KIT_8
KIT_8F_MG5_H6,,408398,390430,17968,0.043996298,TRUE,KIT_8F_MG5_H6,8,5,H6,F,4AC,1,KIT_8
KIT_8K_MG1_F7,,2498,338,2160,0.864691753,TRUE,KIT_8K_MG1_F7,8,1,F7,K,4AC,1,KIT_8
KIT_8K_MG5_F6,,124104,112678,11426,0.092067943,TRUE,KIT_8K_MG5_F6,8,5,F6,K,4AC,1,KIT_8
KIT_8N_MG1_G7,,1356,122,1234,0.910029499,TRUE,KIT_8N_MG1_G7,8,1,G7,N,4AC,1,KIT_8
KIT_8N_MG5_G6,,19264,15184,4080,0.21179402,TRUE,KIT_8N_MG5_G6,8,5,G6,N,4AC,1,KIT_8
KIT_90C_MG1_E8,,2644,226,2418,0.914523449,TRUE,KIT_90C_MG1_E8,90,1,E8,C,3AB,2,KIT_90
KIT_90C_MG4_E8,,83806,79818,3988,0.047586092,TRUE,KIT_90C_MG4_E8,90,4,E8,C,3AB,2,KIT_90
KIT_90F_MG1_H8,,14562,2524,12038,0.82667216,TRUE,KIT_90F_MG1_H8,90,1,H8,F,3AB,2,KIT_90
KIT_90F_MG4_H8,,201306,189384,11922,0.059223272,TRUE,KIT_90F_MG4_H8,90,4,H8,F,3AB,2,KIT_90
KIT_90K_MG1_F8,,7220,904,6316,0.874792244,TRUE,KIT_90K_MG1_F8,90,1,F8,K,3AB,2,KIT_90
KIT_90K_MG4_F8,,355786,324966,30820,0.086625106,TRUE,KIT_90K_MG4_F8,90,4,F8,K,3AB,2,KIT_90
KIT_90N_MG1_G8,,2244,296,1948,0.868092692,TRUE,KIT_90N_MG1_G8,90,1,G8,N,3AB,2,KIT_90
KIT_90N_MG4_G8,,134704,119590,15114,0.112201568,TRUE,KIT_90N_MG4_G8,90,4,G8,N,3AB,2,KIT_90
KIT_91C_MG7_E3,,0,0,0,0,TRUE,KIT_91C_MG7_E3,91,7,E3,C,9AA,2,KIT_91
KIT_91F_MG7_H3,,3300034,2333166,966868,0.292987284,TRUE,KIT_91F_MG7_H3,91,7,H3,F,9AA,2,KIT_91
KIT_91K_MG7_F3,,0,0,0,0,TRUE,KIT_91K_MG7_F3,91,7,F3,K,9AA,2,KIT_91
KIT_91N_MG7_G3,,4076240,3129642,946598,0.232223323,TRUE,KIT_91N_MG7_G3,91,7,G3,N,9AA,2,KIT_91
KIT_92C_MG1_A8,,362432,44438,317994,0.877389414,TRUE,KIT_92C_MG1_A8,92,1,A8,C,1PA,2,KIT_92
KIT_92F_MG1_D8,,566596,68630,497966,0.87887313,TRUE,KIT_92F_MG1_D8,92,1,D8,F,1PA,2,KIT_92
KIT_92K_MG1_B8,,180028,18838,161190,0.895360722,TRUE,KIT_92K_MG1_B8,92,1,B8,K,1PA,2,KIT_92
KIT_92N_MG1_C8,,848430,137122,711308,0.838381481,TRUE,KIT_92N_MG1_C8,92,1,C8,N,1PA,2,KIT_92
KIT_93C_MG1_E3,,9362,1222,8140,0.869472335,TRUE,KIT_93C_MG1_E3,93,1,E3,C,3AA,2,KIT_93
KIT_93C_MG4_E5,,578176,549728,28448,0.049203011,TRUE,KIT_93C_MG4_E5,93,4,E5,C,3AA,2,KIT_93
KIT_93F_MG1_H3,,7596,1370,6226,0.819641917,TRUE,KIT_93F_MG1_H3,93,1,H3,F,3AA,2,KIT_93
KIT_93F_MG4_H5,,380954,369926,11028,0.028948377,TRUE,KIT_93F_MG4_H5,93,4,H5,F,3AA,2,KIT_93
KIT_93K_MG1_F3,,3532,418,3114,0.881653454,TRUE,KIT_93K_MG1_F3,93,1,F3,K,3AA,2,KIT_93
KIT_93K_MG4_F5,,188634,180662,7972,0.042261734,TRUE,KIT_93K_MG4_F5,93,4,F5,K,3AA,2,KIT_93
KIT_93N_MG1_G3,,11000,1700,9300,0.845454545,TRUE,KIT_93N_MG1_G3,93,1,G3,N,3AA,2,KIT_93
KIT_93N_MG4_G5,,522270,484012,38258,0.073253298,TRUE,KIT_93N_MG4_G5,93,4,G5,N,3AA,2,KIT_93
KIT_94C_MG1_A5,,27896,3748,24148,0.86564382,TRUE,KIT_94C_MG1_A5,94,1,A5,C,4PA,2,KIT_94
KIT_94C_MG5_A4,,13016858,12990008,26850,0.00206271,TRUE,KIT_94C_MG5_A4,94,5,A4,C,4PA,2,KIT_94
KIT_94F_MG1_D5,,82676,10698,71978,0.870603319,TRUE,KIT_94F_MG1_D5,94,1,D5,F,4PA,2,KIT_94
KIT_94F_MG5_D4,,7251376,7058550,192826,0.026591643,TRUE,KIT_94F_MG5_D4,94,5,D4,F,4PA,2,KIT_94
