Sample Name,KitNumber,Total reads,Duplicate Reads,Kept reads,Percent Kept,,SAMPLE_NAME,TUBE,PLATE,WELL,LOCATION,SID,TP,KIT
KIT_41C_MG2_E8,,422,24,398,0.943127962,TRUE,KIT_41C_MG2_E8,41,2,E8,C,8PB,1,KIT_41
KIT_41F_MG2_H8,,974,64,910,0.934291581,TRUE,KIT_41F_MG2_H8,41,2,H8,F,8PB,1,KIT_41
KIT_41K_MG2_F8,,3572,250,3322,0.930011198,TRUE,KIT_41K_MG2_F8,41,2,F8,K,8PB,1,KIT_41
KIT_41N_MG2_G8,,32904,2202,30702,0.933078045,TRUE,KIT_41N_MG2_G8,41,2,G8,N,8PB,1,KIT_41
KIT_43C_MG6_E7,,728758,657620,71138,0.097615395,TRUE,KIT_43C_MG6_E7,43,6,E7,C,22AA,1,KIT_43
KIT_43F_MG6_H7,,0,0,0,0,TRUE,KIT_43F_MG6_H7,43,6,H7,F,22AA,1,KIT_43
KIT_43K_MG6_F7,,619332,598882,20450,0.033019447,TRUE,KIT_43K_MG6_F7,43,6,F7,K,22AA,1,KIT_43
KIT_43N_MG6_G7,,4343920,3329544,1014376,0.233516271,TRUE,KIT_43N_MG6_G7,43,6,G7,N,22AA,1,KIT_43
KIT_44C_MG6_E8,,21684752,20018012,1666740,0.076862304,TRUE,KIT_44C_MG6_E8,44,6,E8,C,22PA,1,KIT_44
KIT_44F_MG6_H8,,11097064,10876010,221054,0.019920044,TRUE,KIT_44F_MG6_H8,44,6,H8,F,22PA,1,KIT_44
KIT_44K_MG6_F8,,10863394,9617872,1245522,0.114653119,TRUE,KIT_44K_MG6_F8,44,6,F8,K,22PA,1,KIT_44
KIT_44N_MG6_G8,,14814378,12828532,1985846,0.134048557,TRUE,KIT_44N_MG6_G8,44,6,G8,N,22PA,1,KIT_44
KIT_45C_MG1_A4,,1578,134,1444,0.915082383,TRUE,KIT_45C_MG1_A4,45,1,A4,C,7AB,1,KIT_45
KIT_45C_MG4_A7,,214446,203554,10892,0.050791341,TRUE,KIT_45C_MG4_A7,45,4,A7,C,7AB,1,KIT_45
KIT_45F_MG1_D4,,5552,532,5020,0.904178674,TRUE,KIT_45F_MG1_D4,45,1,D4,F,7AB,1,KIT_45
KIT_45F_MG4_D7,,196,20,176,0.897959184,TRUE,KIT_45F_MG4_D7,45,4,D7,F,7AB,1,KIT_45
KIT_45K_MG1_B4,,10046,1474,8572,0.853274935,TRUE,KIT_45K_MG1_B4,45,1,B4,K,7AB,1,KIT_45
KIT_45K_MG4_B7,,21396,15968,5428,0.253692279,TRUE,KIT_45K_MG4_B7,45,4,B7,K,7AB,1,KIT_45
KIT_45N_MG1_C4,,11916,1812,10104,0.847935549,TRUE,KIT_45N_MG1_C4,45,1,C4,N,7AB,1,KIT_45
KIT_45N_MG4_C7,,106936,74344,32592,0.304780429,TRUE,KIT_45N_MG4_C7,45,4,C7,N,7AB,1,KIT_45
KIT_46C_MG1_E5,,102174,15320,86854,0.850059702,TRUE,KIT_46C_MG1_E5,46,1,E5,C,7PA,1,KIT_46
KIT_46F_MG1_H5,,69342,13318,56024,0.807937469,TRUE,KIT_46F_MG1_H5,46,1,H5,F,7PA,1,KIT_46
KIT_46K_MG1_F5,,40630,5112,35518,0.874181639,TRUE,KIT_46K_MG1_F5,46,1,F5,K,7PA,1,KIT_46
KIT_46N_MG1_G5,,190042,28460,161582,0.85024363,TRUE,KIT_46N_MG1_G5,46,1,G5,N,7PA,1,KIT_46
KIT_49C_MG1_A12,,86220,7890,78330,0.90848991,TRUE,KIT_49C_MG1_A12,49,1,A12,C,8AB,1,KIT_49
KIT_49F_MG1_D12,,273196,23182,250014,0.915145171,TRUE,KIT_49F_MG1_D12,49,1,D12,F,8AB,1,KIT_49
KIT_49K_MG1_B12,,115066,6204,108862,0.946083118,TRUE,KIT_49K_MG1_B12,49,1,B12,K,8AB,1,KIT_49
KIT_49N_MG1_C12,,750692,94930,655762,0.873543344,TRUE,KIT_49N_MG1_C12,49,1,C12,N,8AB,1,KIT_49
KIT_4C_MG2_E2,,11340,808,10532,0.928747795,TRUE,KIT_4C_MG2_E2,29,2,E2,C,2AA,1,KIT_4
KIT_4C_MG6_E12,,166854,163634,3220,0.019298309,TRUE,KIT_4C_MG6_E12,4,6,E12,C,17AA,1,KIT_4
KIT_4F_MG2_H2,,10088,682,9406,0.932394925,TRUE,KIT_4F_MG2_H2,29,2,H2,F,2AA,1,KIT_4
KIT_4F_MG6_H12,,232804,220986,11818,0.050763733,TRUE,KIT_4F_MG6_H12,4,6,H12,F,17AA,1,KIT_4
KIT_4K_MG2_F2,,1932,132,1800,0.931677019,TRUE,KIT_4K_MG2_F2,29,2,F2,K,2AA,1,KIT_4
KIT_4K_MG6_F12,,58614,53806,4808,0.082028184,TRUE,KIT_4K_MG6_F12,4,6,F12,K,17AA,1,KIT_4
KIT_4N_MG2_G2,,25232,1712,23520,0.932149651,TRUE,KIT_4N_MG2_G2,29,2,G2,N,2AA,1,KIT_4
KIT_4N_MG6_G12,,83632,77894,5738,0.068610101,TRUE,KIT_4N_MG6_G12,4,6,G12,N,17AA,1,KIT_4
KIT_51F_MG6_D8,,9599548,8135276,1464272,0.152535515,TRUE,KIT_51F_MG6_D8,51,6,D8,F,19AA,1,KIT_51
KIT_51K_MG6_B8,,9634094,9144104,489990,0.050859998,TRUE,KIT_51K_MG6_B8,51,6,B8,K,19AA,1,KIT_51
KIT_51N_MG6_C8,,10478594,7752302,2726292,0.260177272,TRUE,KIT_51N_MG6_C8,51,6,C8,N,19AA,1,KIT_51
KIT_53C_MG2_E10,,2288,90,2198,0.960664336,TRUE,KIT_53C_MG2_E10,53,2,E10,C,2AB,3,KIT_53
KIT_53C_MG4_A3,,70224,62658,7566,0.107740943,TRUE,KIT_53C_MG4_A3,53,4,A3,C,2AB,3,KIT_53
