,Well,Colony,Replicate,Growth Rate,Time to Max Growth,Saturation OD,Rsq
151,Plate 2 Well E8,313,13,0.84194262,11.51666667,0.75378539,0.999329266
152,Plate 2 Well E9,353,13,0.636076555,8.516666667,0.74928367,0.999343452
153,Plate 2 Well E10,3131,13,0.958330384,7.683333333,0.995137341,0.998877008
154,Plate 2 Well E11,3133,13,0.957413778,7.683333333,0.991281722,0.998901924
155,Plate 2 Well E12,0,0,0,18.03333333,0.022,0
156,Plate 2 Well F1,101,14,0.829601443,7.35,0.994138917,0.99929509
157,Plate 2 Well F2,105,14,0.88539185,7.183333333,0.986853176,0.999455481
158,Plate 2 Well F3,211,14,0.717780773,11.68333333,0.873996564,0.999645242
159,Plate 2 Well F4,215,14,0.631103981,10.51666667,0.9519982,0.999446452
160,Plate 2 Well F5,227,14,0.705261711,8.183333333,0.710855448,0.999952096
161,Plate 2 Well F6,230,14,0.619894524,10.85,0.943284244,0.999592217
162,Plate 2 Well F7,311,14,0.708752645,8.183333333,0.602853481,0.999591837
163,Plate 2 Well F8,313,14,0.853212183,11.68333333,0.757804894,0.999374042
164,Plate 2 Well F9,353,14,0.66291242,8.35,0.953856629,0.999894312
165,Plate 2 Well F10,3131,14,0.925891671,7.683333333,1.167135088,0.99936471
166,Plate 2 Well F11,3133,14,0.919781796,7.85,1.18285697,0.999189779
167,Plate 2 Well F12,0,0,0,18.03333333,0.019,0
168,Plate 2 Well G1,101,15,0.882288076,7.183333333,0.990996254,0.999434097
169,Plate 2 Well G2,105,15,0.867210254,7.183333333,0.988568271,0.999334289
170,Plate 2 Well G3,211,15,0.729215254,11.35,0.865142291,0.999738658
171,Plate 2 Well G4,215,15,0.625371804,10.85,0.94713917,0.999590211
172,Plate 2 Well G5,227,15,0.694114783,8.183333333,0.713283165,0.999973778
173,Plate 2 Well G6,230,15,0.619849523,11.18333333,0.939712351,0.999568108
174,Plate 2 Well G7,311,15,0.704296965,8.183333333,0.596856561,0.999660271
175,Plate 2 Well G8,313,15,0.883783551,12.01666667,0.765667285,0.999387606
176,Plate 2 Well G9,353,15,0.694476167,8.35,0.95671403,0.99996935
177,Plate 2 Well G10,3131,15,0.899681968,7.516666667,1.20828563,0.998992766
178,Plate 2 Well G11,3133,15,0.892222649,7.85,1.213428353,0.999366107
179,Plate 2 Well G12,0,0,0,18.03333333,0.024982849,0
180,Plate 2 Well H1,101,16,0.856294315,7.016666667,0.989139761,0.999484137
181,Plate 2 Well H2,105,16,0.876038065,7.35,1.13157132,0.999469741
182,Plate 2 Well H3,211,16,0.721784073,10.68333333,0.871425973,0.999769104
183,Plate 2 Well H4,215,16,0.631990555,10.51666667,0.945568731,0.999613837
184,Plate 2 Well H5,227,16,0.691667673,8.683333333,0.879284623,0.999938794
185,Plate 2 Well H6,230,16,0.601608734,11.35,1.049407706,0.999450678
186,Plate 2 Well H7,311,16,0.647323886,8.35,0.691201349,0.999814947
187,Plate 2 Well H8,313,16,0.888146924,12.18333333,0.883425842,0.999435793
188,Plate 2 Well H9,353,16,0.696567013,8.183333333,1.065256164,0.999938568
189,Plate 2 Well H10,3131,16,0.908666618,7.85,1.184428347,0.999012864
190,Plate 2 Well H11,3133,16,0.900052045,7.85,1.168855624,0.999286214
191,Plate 2 Well H12,0,0,0,18.03333333,0.019558145,0
