SID,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Lineage_6,Lineage_7,Lineage_8,Lineage_9,Lineage_10,Lineage_11,Lineage_12,Lineage_13,Lineage_14,Lineage_15,Lineage_16,Lineage_17,Lineage_18,Lineage_19,Lineage_20,Lineage_21,Lineage_22,Lineage_23,Lineage_24,Lineage_25,Lineage_26,Lineage_27,Lineage_28,Lineage_29,Lineage_30,Lineage_31,Lineage_32,Lineage_33,Lineage_34,Lineage_35,Lineage_36,Lineage_37,Lineage_38,Lineage_39,Lineage_40,Lineage_41,Lineage_42,Lineage_43,Lineage_44,Lineage_45,Lineage_46,Lineage_47,Lineage_48,Lineage_49,Lineage_50,Lineage_51,Lineage_52,Lineage_53,Lineage_54,Lineage_55,Lineage_56,Lineage_57,Lineage_58,Lineage_59,Lineage_60,Lineage_61,Lineage_62,Lineage_63,Lineage_64,Lineage_65,Lineage_66,Lineage_67,Lineage_68,Lineage_69,Lineage_70,Lineage_71,Lineage_72,Lineage_73,Lineage_74,Lineage_75,Lineage_76,Lineage_77,Lineage_78,Lineage_79,Lineage_80,Lineage_81,Lineage_82,Lineage_83,Lineage_84,Lineage_85,Lineage_86,Lineage_87,Lineage_88,Lineage_89,Lineage_90,Lineage_91,Lineage_92
2AA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055021837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888528168,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085715994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105613939,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2AB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2PA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2PA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507125795,0,0,0,0.164385155,0,0,0,0,0,0,0,0,0.025187658,0.121593438,0.028420743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045878015,0.075468644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
2PB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064254522,0,0,0,0.030084236,0.185420841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090941064,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4AA1,0,0,0,0,0,0,0,0,0.324560493,0,0,0,0.057687115,0.111201704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089234412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4AB1,0,0,0,0,0.800106287,0,0.170330092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
4AC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAN,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0,NAN,NAN,0,NAN,NAN,NAN,NAN,NAN,0
